ID,Class Name,Date,Time (IST),Dimensions (Width x Height),Xmin,Ymin,Xmax,Ymax,Frame Width,Frame Height
1,car,18-11-2024,03:06:11 PM,244x282,77,54,321,336,1440,1616
2,bus,18-11-2024,03:06:11 PM,174x376,845,55,1019,431,1440,1616
1,car,18-11-2024,03:06:13 PM,244x281,77,55,321,336,1440,1616
2,bus,18-11-2024,03:06:13 PM,173x377,845,54,1018,431,1440,1616
1,car,18-11-2024,03:06:14 PM,244x283,77,54,321,337,1440,1616
2,bus,18-11-2024,03:06:14 PM,173x380,845,53,1018,433,1440,1616
1,car,18-11-2024,03:06:16 PM,244x285,77,53,321,338,1440,1616
2,bus,18-11-2024,03:06:16 PM,173x372,845,57,1018,429,1440,1616
1,car,18-11-2024,03:06:17 PM,246x280,82,56,328,336,1440,1616
2,bus,18-11-2024,03:06:17 PM,171x369,852,59,1023,428,1440,1616
1,car,18-11-2024,03:06:18 PM,245x281,82,55,327,336,1440,1616
2,bus,18-11-2024,03:06:18 PM,174x372,845,57,1019,429,1440,1616
1,car,18-11-2024,03:06:20 PM,245x281,76,55,321,336,1440,1616
2,bus,18-11-2024,03:06:20 PM,173x373,845,57,1018,430,1440,1616
1,car,18-11-2024,03:06:22 PM,245x280,76,55,321,335,1440,1616
2,bus,18-11-2024,03:06:22 PM,174x374,845,56,1019,430,1440,1616
1,car,18-11-2024,03:06:23 PM,247x284,75,53,322,337,1440,1616
2,bus,18-11-2024,03:06:23 PM,173x375,845,56,1018,431,1440,1616
1,car,18-11-2024,03:06:25 PM,245x284,76,54,321,338,1440,1616
2,bus,18-11-2024,03:06:25 PM,173x373,845,56,1018,429,1440,1616
1,car,18-11-2024,03:06:27 PM,246x284,75,54,321,338,1440,1616
2,bus,18-11-2024,03:06:27 PM,173x376,845,55,1018,431,1440,1616
1,car,18-11-2024,03:06:28 PM,244x282,83,54,327,336,1440,1616
2,bus,18-11-2024,03:06:28 PM,172x370,851,58,1023,428,1440,1616
1,car,18-11-2024,03:06:30 PM,245x280,76,56,321,336,1440,1616
2,bus,18-11-2024,03:06:30 PM,173x375,845,56,1018,431,1440,1616
1,car,18-11-2024,03:06:31 PM,245x286,76,52,321,338,1440,1616
2,bus,18-11-2024,03:06:31 PM,173x372,845,57,1018,429,1440,1616
1,car,18-11-2024,03:06:33 PM,247x280,81,55,328,335,1440,1616
2,bus,18-11-2024,03:06:33 PM,174x370,845,58,1019,428,1440,1616
1,car,18-11-2024,03:06:34 PM,242x282,78,55,320,337,1440,1616
2,bus,18-11-2024,03:06:34 PM,173x376,845,55,1018,431,1440,1616
1,car,18-11-2024,03:06:36 PM,247x282,81,54,328,336,1440,1616
2,bus,18-11-2024,03:06:36 PM,173x377,845,54,1018,431,1440,1616
